text,label,notes
Another completely soulless cash grab from Nintendo. Alien Isolation 2 is going to be dead on arrival.,hot_take,
I'm just going to say it: Shift Up ruined the industry and Control Resonant is just more proof of that.,hot_take,
Who actually asked for Gothic Remake? So disappointed.,reaction,
Another completely soulless cash grab from Shift Up. Gothic Remake is going to be dead on arrival.,hot_take,
"Take my money Remedy, Control Resonant looks incredible.",reaction,
Another completely soulless cash grab from Square Enix. Alien Isolation 2 is going to be dead on arrival.,hot_take,
I am literally crying right now. Resident Evil Code Veronica is finally real.,reaction,
Another completely soulless cash grab from Nintendo. Alien Isolation 2 is going to be dead on arrival.,hot_take,
I'm just going to say it: Shift Up ruined the industry and Saw Genesis is just more proof of that.,hot_take,
"From a purely mechanical standpoint, FF7 Revelation seems to borrow heavily from the posture system in Sekiro, but it adapts it well for a western RPG audience.",analysis,
The inclusion of the parry mechanic in Gothic Remake shows that Nintendo is finally listening to player feedback regarding pacing and combat loops.,analysis,
You have to have zero taste to think Saw Genesis looks like an actual step forward for the genre.,hot_take,
"If you look closely at the lighting engine in Saw Genesis, it's clear they've upgraded from Unreal Engine 4 to 5, which explains the delayed release schedule.",analysis,
Who actually asked for Resident Evil Code Veronica? So disappointed.,reaction,
"Take my money Square Enix, Guild Wars 3 looks incredible.",reaction,
"Given the poor sales of their last title, Square Enix banking entirely on Resident Evil Code Veronica to save their fiscal year is a massive gamble.",analysis,
Resident Evil Code Veronica looks like absolute dog water. Nintendo hasn't made a good game in over a decade.,hot_take,
The inclusion of the multiplayer integration in Control Resonant shows that Shift Up is finally listening to player feedback regarding pacing and combat loops.,analysis,
Who actually asked for Resident Evil Code Veronica? So disappointed.,reaction,
"Take my money Epic Games, Resident Evil Code Veronica looks incredible.",reaction,
I am literally crying right now. FF7 Revelation is finally real.,reaction,
I'm just going to say it: Remedy ruined the industry and Alien Isolation 2 is just more proof of that.,hot_take,
Who actually asked for Resident Evil Code Veronica? So disappointed.,reaction,
I've been waiting for Resident Evil Code Veronica for literal years. Day one buy.,reaction,
I am literally crying right now. Control Resonant is finally real.,reaction,
"Take my money Shift Up, Stellar Blade 2 looks incredible.",reaction,
Who actually asked for Gothic Remake? So disappointed.,reaction,
You have to have zero taste to think Saw Genesis looks like an actual step forward for the genre.,hot_take,
You have to have zero taste to think Saw Genesis looks like an actual step forward for the genre.,hot_take,
I'm just going to say it: Square Enix ruined the industry and Control Resonant is just more proof of that.,hot_take,
The inclusion of the multiplayer integration in Gothic Remake shows that Square Enix is finally listening to player feedback regarding pacing and combat loops.,analysis,
"If you look closely at the lighting engine in Guild Wars 3, it's clear they've upgraded from Unreal Engine 4 to 5, which explains the delayed release schedule.",analysis,
"From a purely mechanical standpoint, Gothic Remake seems to borrow heavily from the posture system in Sekiro, but it adapts it well for a western RPG audience.",analysis,
I'm just going to say it: Nintendo ruined the industry and Gothic Remake is just more proof of that.,hot_take,
I've been waiting for FF7 Revelation for literal years. Day one buy.,reaction,
You have to have zero taste to think Saw Genesis looks like an actual step forward for the genre.,hot_take,
"From a purely mechanical standpoint, Control Resonant seems to borrow heavily from the posture system in Sekiro, but it adapts it well for a western RPG audience.",analysis,
The inclusion of the open world structure in FF7 Revelation shows that Square Enix is finally listening to player feedback regarding pacing and combat loops.,analysis,
OMG FF7 Revelation LOOKS UNREAL I AM SO HYPED!!!,reaction,
I am literally crying right now. Control Resonant is finally real.,reaction,
OMG Gothic Remake LOOKS UNREAL I AM SO HYPED!!!,reaction,
Another completely soulless cash grab from Square Enix. Guild Wars 3 is going to be dead on arrival.,hot_take,
"If you look closely at the lighting engine in Saw Genesis, it's clear they've upgraded from Unreal Engine 4 to 5, which explains the delayed release schedule.",analysis,
Alien Isolation 2 looks like absolute dog water. Nintendo hasn't made a good game in over a decade.,hot_take,
Another completely soulless cash grab from Shift Up. Guild Wars 3 is going to be dead on arrival.,hot_take,
"Given the poor sales of their last title, Epic Games banking entirely on Control Resonant to save their fiscal year is a massive gamble.",analysis,
Who actually asked for Gothic Remake? So disappointed.,reaction,
"Given the poor sales of their last title, Epic Games banking entirely on Alien Isolation 2 to save their fiscal year is a massive gamble.",analysis,
Who actually asked for Resident Evil Code Veronica? So disappointed.,reaction,
You have to have zero taste to think Control Resonant looks like an actual step forward for the genre.,hot_take,
OMG Gothic Remake LOOKS UNREAL I AM SO HYPED!!!,reaction,
The inclusion of the stealth elements in Alien Isolation 2 shows that Shift Up is finally listening to player feedback regarding pacing and combat loops.,analysis,
You have to have zero taste to think Control Resonant looks like an actual step forward for the genre.,hot_take,
The inclusion of the parry mechanic in FF7 Revelation shows that Square Enix is finally listening to player feedback regarding pacing and combat loops.,analysis,
"Given the poor sales of their last title, Capcom banking entirely on Guild Wars 3 to save their fiscal year is a massive gamble.",analysis,
OMG Resident Evil Code Veronica LOOKS UNREAL I AM SO HYPED!!!,reaction,
I'm just going to say it: Capcom ruined the industry and Saw Genesis is just more proof of that.,hot_take,
Who actually asked for Resident Evil Code Veronica? So disappointed.,reaction,
I've been waiting for FF7 Revelation for literal years. Day one buy.,reaction,
"If you look closely at the lighting engine in Stellar Blade 2, it's clear they've upgraded from Unreal Engine 4 to 5, which explains the delayed release schedule.",analysis,
"From a purely mechanical standpoint, Gothic Remake seems to borrow heavily from the posture system in Sekiro, but it adapts it well for a western RPG audience.",analysis,
FF7 Revelation looks like absolute dog water. Nintendo hasn't made a good game in over a decade.,hot_take,
"If you look closely at the lighting engine in FF7 Revelation, it's clear they've upgraded from Unreal Engine 4 to 5, which explains the delayed release schedule.",analysis,
"From a purely mechanical standpoint, Guild Wars 3 seems to borrow heavily from the posture system in Sekiro, but it adapts it well for a western RPG audience.",analysis,
Saw Genesis looks like absolute dog water. Nintendo hasn't made a good game in over a decade.,hot_take,
The decision to make Stellar Blade 2 a live-service model completely undermines the narrative structure Epic Games is known for.,analysis,
I am literally crying right now. Gothic Remake is finally real.,reaction,
Who actually asked for Gothic Remake? So disappointed.,reaction,
I am literally crying right now. FF7 Revelation is finally real.,reaction,
"From a purely mechanical standpoint, Stellar Blade 2 seems to borrow heavily from the posture system in Sekiro, but it adapts it well for a western RPG audience.",analysis,
You have to have zero taste to think FF7 Revelation looks like an actual step forward for the genre.,hot_take,
I've been waiting for Resident Evil Code Veronica for literal years. Day one buy.,reaction,
"If you look closely at the lighting engine in Gothic Remake, it's clear they've upgraded from Unreal Engine 4 to 5, which explains the delayed release schedule.",analysis,
I am literally crying right now. Gothic Remake is finally real.,reaction,
"Take my money Shift Up, Alien Isolation 2 looks incredible.",reaction,
Another completely soulless cash grab from Capcom. FF7 Revelation is going to be dead on arrival.,hot_take,
"Take my money Epic Games, Resident Evil Code Veronica looks incredible.",reaction,
"If you look closely at the lighting engine in Resident Evil Code Veronica, it's clear they've upgraded from Unreal Engine 4 to 5, which explains the delayed release schedule.",analysis,
I'm just going to say it: Capcom ruined the industry and Alien Isolation 2 is just more proof of that.,hot_take,
I've been waiting for Saw Genesis for literal years. Day one buy.,reaction,
Another completely soulless cash grab from Square Enix. FF7 Revelation is going to be dead on arrival.,hot_take,
You have to have zero taste to think Saw Genesis looks like an actual step forward for the genre.,hot_take,
Who actually asked for Saw Genesis? So disappointed.,reaction,
The inclusion of the parry mechanic in Alien Isolation 2 shows that Square Enix is finally listening to player feedback regarding pacing and combat loops.,analysis,
The inclusion of the open world structure in Gothic Remake shows that Nintendo is finally listening to player feedback regarding pacing and combat loops.,analysis,
"Take my money Remedy, Saw Genesis looks incredible.",reaction,
FF7 Revelation looks like absolute dog water. Square Enix hasn't made a good game in over a decade.,hot_take,
I'm just going to say it: Square Enix ruined the industry and Stellar Blade 2 is just more proof of that.,hot_take,
"Given the poor sales of their last title, Square Enix banking entirely on FF7 Revelation to save their fiscal year is a massive gamble.",analysis,
OMG Gothic Remake LOOKS UNREAL I AM SO HYPED!!!,reaction,
"From a purely mechanical standpoint, Gothic Remake seems to borrow heavily from the posture system in Sekiro, but it adapts it well for a western RPG audience.",analysis,
I am literally crying right now. Control Resonant is finally real.,reaction,
Who actually asked for Saw Genesis? So disappointed.,reaction,
"Take my money Epic Games, Alien Isolation 2 looks incredible.",reaction,
The inclusion of the stealth elements in Gothic Remake shows that Epic Games is finally listening to player feedback regarding pacing and combat loops.,analysis,
"Given the poor sales of their last title, Remedy banking entirely on Gothic Remake to save their fiscal year is a massive gamble.",analysis,
OMG Gothic Remake LOOKS UNREAL I AM SO HYPED!!!,reaction,
I am literally crying right now. Stellar Blade 2 is finally real.,reaction,
The inclusion of the multiplayer integration in Guild Wars 3 shows that Nintendo is finally listening to player feedback regarding pacing and combat loops.,analysis,
Who actually asked for FF7 Revelation? So disappointed.,reaction,
I am literally crying right now. Alien Isolation 2 is finally real.,reaction,
Anyone excited for Guild Wars 3 is literally part of the problem with modern gaming.,hot_take,
I am literally crying right now. Resident Evil Code Veronica is finally real.,reaction,
Another completely soulless cash grab from Shift Up. FF7 Revelation is going to be dead on arrival.,hot_take,
OMG Saw Genesis LOOKS UNREAL I AM SO HYPED!!!,reaction,
"Given the poor sales of their last title, Capcom banking entirely on Alien Isolation 2 to save their fiscal year is a massive gamble.",analysis,
"If you look closely at the lighting engine in FF7 Revelation, it's clear they've upgraded from Unreal Engine 4 to 5, which explains the delayed release schedule.",analysis,
"Take my money Square Enix, Stellar Blade 2 looks incredible.",reaction,
I'm just going to say it: Square Enix ruined the industry and Gothic Remake is just more proof of that.,hot_take,
"If you look closely at the lighting engine in FF7 Revelation, it's clear they've upgraded from Unreal Engine 4 to 5, which explains the delayed release schedule.",analysis,
I've been waiting for Guild Wars 3 for literal years. Day one buy.,reaction,
I've been waiting for Resident Evil Code Veronica for literal years. Day one buy.,reaction,
You have to have zero taste to think Stellar Blade 2 looks like an actual step forward for the genre.,hot_take,
"If you look closely at the lighting engine in Stellar Blade 2, it's clear they've upgraded from Unreal Engine 4 to 5, which explains the delayed release schedule.",analysis,
Who actually asked for Alien Isolation 2? So disappointed.,reaction,
I'm just going to say it: Nintendo ruined the industry and FF7 Revelation is just more proof of that.,hot_take,
"If you look closely at the lighting engine in Gothic Remake, it's clear they've upgraded from Unreal Engine 4 to 5, which explains the delayed release schedule.",analysis,
"Take my money Square Enix, Stellar Blade 2 looks incredible.",reaction,
The decision to make Resident Evil Code Veronica a live-service model completely undermines the narrative structure Shift Up is known for.,analysis,
"If you look closely at the lighting engine in Control Resonant, it's clear they've upgraded from Unreal Engine 4 to 5, which explains the delayed release schedule.",analysis,
The inclusion of the parry mechanic in Control Resonant shows that Nintendo is finally listening to player feedback regarding pacing and combat loops.,analysis,
The inclusion of the stealth elements in Control Resonant shows that Epic Games is finally listening to player feedback regarding pacing and combat loops.,analysis,
Stellar Blade 2 looks like absolute dog water. Square Enix hasn't made a good game in over a decade.,hot_take,
I'm just going to say it: Remedy ruined the industry and Alien Isolation 2 is just more proof of that.,hot_take,
Who actually asked for Stellar Blade 2? So disappointed.,reaction,
You have to have zero taste to think Control Resonant looks like an actual step forward for the genre.,hot_take,
I've been waiting for Alien Isolation 2 for literal years. Day one buy.,reaction,
"Take my money Epic Games, Saw Genesis looks incredible.",reaction,
"If you look closely at the lighting engine in FF7 Revelation, it's clear they've upgraded from Unreal Engine 4 to 5, which explains the delayed release schedule.",analysis,
You have to have zero taste to think Stellar Blade 2 looks like an actual step forward for the genre.,hot_take,
I am literally crying right now. Alien Isolation 2 is finally real.,reaction,
"If you look closely at the lighting engine in FF7 Revelation, it's clear they've upgraded from Unreal Engine 4 to 5, which explains the delayed release schedule.",analysis,
"If you look closely at the lighting engine in FF7 Revelation, it's clear they've upgraded from Unreal Engine 4 to 5, which explains the delayed release schedule.",analysis,
"If you look closely at the lighting engine in Gothic Remake, it's clear they've upgraded from Unreal Engine 4 to 5, which explains the delayed release schedule.",analysis,
Another completely soulless cash grab from Capcom. Gothic Remake is going to be dead on arrival.,hot_take,
I am literally crying right now. Stellar Blade 2 is finally real.,reaction,
Another completely soulless cash grab from Shift Up. Alien Isolation 2 is going to be dead on arrival.,hot_take,
Anyone excited for Guild Wars 3 is literally part of the problem with modern gaming.,hot_take,
"Take my money Square Enix, Control Resonant looks incredible.",reaction,
"Take my money Nintendo, Resident Evil Code Veronica looks incredible.",reaction,
Anyone excited for Resident Evil Code Veronica is literally part of the problem with modern gaming.,hot_take,
Who actually asked for Resident Evil Code Veronica? So disappointed.,reaction,
The inclusion of the new combat system in Gothic Remake shows that Square Enix is finally listening to player feedback regarding pacing and combat loops.,analysis,
The inclusion of the new combat system in Stellar Blade 2 shows that Shift Up is finally listening to player feedback regarding pacing and combat loops.,analysis,
I've been waiting for Resident Evil Code Veronica for literal years. Day one buy.,reaction,
Anyone excited for Alien Isolation 2 is literally part of the problem with modern gaming.,hot_take,
I've been waiting for FF7 Revelation for literal years. Day one buy.,reaction,
"Given the poor sales of their last title, Capcom banking entirely on Guild Wars 3 to save their fiscal year is a massive gamble.",analysis,
Anyone excited for Control Resonant is literally part of the problem with modern gaming.,hot_take,
OMG Alien Isolation 2 LOOKS UNREAL I AM SO HYPED!!!,reaction,
OMG Gothic Remake LOOKS UNREAL I AM SO HYPED!!!,reaction,
You have to have zero taste to think Gothic Remake looks like an actual step forward for the genre.,hot_take,
You have to have zero taste to think Control Resonant looks like an actual step forward for the genre.,hot_take,
OMG Resident Evil Code Veronica LOOKS UNREAL I AM SO HYPED!!!,reaction,
OMG Saw Genesis LOOKS UNREAL I AM SO HYPED!!!,reaction,
Anyone excited for Guild Wars 3 is literally part of the problem with modern gaming.,hot_take,
"If you look closely at the lighting engine in Guild Wars 3, it's clear they've upgraded from Unreal Engine 4 to 5, which explains the delayed release schedule.",analysis,
"If you look closely at the lighting engine in Gothic Remake, it's clear they've upgraded from Unreal Engine 4 to 5, which explains the delayed release schedule.",analysis,
Another completely soulless cash grab from Nintendo. Saw Genesis is going to be dead on arrival.,hot_take,
"If you look closely at the lighting engine in FF7 Revelation, it's clear they've upgraded from Unreal Engine 4 to 5, which explains the delayed release schedule.",analysis,
The decision to make Alien Isolation 2 a live-service model completely undermines the narrative structure Remedy is known for.,analysis,
Alien Isolation 2 looks like absolute dog water. Capcom hasn't made a good game in over a decade.,hot_take,
"From a purely mechanical standpoint, Alien Isolation 2 seems to borrow heavily from the posture system in Sekiro, but it adapts it well for a western RPG audience.",analysis,
Another completely soulless cash grab from Nintendo. Gothic Remake is going to be dead on arrival.,hot_take,
I've been waiting for Control Resonant for literal years. Day one buy.,reaction,
"If you look closely at the lighting engine in Stellar Blade 2, it's clear they've upgraded from Unreal Engine 4 to 5, which explains the delayed release schedule.",analysis,
"Given the poor sales of their last title, Square Enix banking entirely on Saw Genesis to save their fiscal year is a massive gamble.",analysis,
Who actually asked for Stellar Blade 2? So disappointed.,reaction,
OMG FF7 Revelation LOOKS UNREAL I AM SO HYPED!!!,reaction,
Who actually asked for Saw Genesis? So disappointed.,reaction,
Control Resonant looks like absolute dog water. Epic Games hasn't made a good game in over a decade.,hot_take,
The inclusion of the stealth elements in FF7 Revelation shows that Nintendo is finally listening to player feedback regarding pacing and combat loops.,analysis,
"Given the poor sales of their last title, Square Enix banking entirely on Saw Genesis to save their fiscal year is a massive gamble.",analysis,
The inclusion of the new combat system in Gothic Remake shows that Nintendo is finally listening to player feedback regarding pacing and combat loops.,analysis,
"If you look closely at the lighting engine in FF7 Revelation, it's clear they've upgraded from Unreal Engine 4 to 5, which explains the delayed release schedule.",analysis,
"If you look closely at the lighting engine in Control Resonant, it's clear they've upgraded from Unreal Engine 4 to 5, which explains the delayed release schedule.",analysis,
I've been waiting for Guild Wars 3 for literal years. Day one buy.,reaction,
You have to have zero taste to think Alien Isolation 2 looks like an actual step forward for the genre.,hot_take,
Another completely soulless cash grab from Shift Up. Guild Wars 3 is going to be dead on arrival.,hot_take,
The decision to make Resident Evil Code Veronica a live-service model completely undermines the narrative structure Epic Games is known for.,analysis,
"Given the poor sales of their last title, Remedy banking entirely on FF7 Revelation to save their fiscal year is a massive gamble.",analysis,
I am literally crying right now. Control Resonant is finally real.,reaction,
"If you look closely at the lighting engine in Saw Genesis, it's clear they've upgraded from Unreal Engine 4 to 5, which explains the delayed release schedule.",analysis,
"Given the poor sales of their last title, Nintendo banking entirely on Resident Evil Code Veronica to save their fiscal year is a massive gamble.",analysis,
"Take my money Shift Up, Gothic Remake looks incredible.",reaction,
OMG FF7 Revelation LOOKS UNREAL I AM SO HYPED!!!,reaction,
